  theta		     V2		    lowest band       2nd lowest        3rd lowest
1.399999997     -16.000000000       1.069372375       3.364817966       6.809404582
1.399999997     -15.500000000       1.067602521       3.405612878       6.803923457
1.399999997     -15.000000000       1.065766559       3.456879315       6.805664417
1.399999997     -14.500000000       1.063864849       3.519269751       6.815111776
1.399999997     -14.000000000       1.061898678       3.591275957       6.830620262
1.399999997     -13.500000000       1.059870528       3.665840042       6.845041706
1.399999997     -13.000000000       1.057784400       3.727739944       6.843133842
1.399999997     -12.500000000       1.055646231       3.765753375       6.813773371
1.399999997     -12.000000000       1.053464411       3.796883007       6.774276547
1.399999997     -11.500000000       1.051250428       3.815366215       6.719473457
1.399999997     -11.000000000       1.049019685       3.768443611       6.597372520
1.399999997     -10.500000000       1.046792541       3.667584268       6.420300312
1.399999997     -10.000000000       1.044595632       3.558707293       6.235248991
1.399999997      -9.500000000       1.042463599       3.463105748       6.065020311
1.399999997      -9.000000000       1.040441370       3.383517128       5.914610400
1.399999997      -8.500000000       1.038587258       3.317881334       5.785542534
1.399999997      -8.000000000       1.036977328       3.264257739       5.681906814
1.499999999     -16.000000000       1.057997440       3.955559644       7.125123537
1.499999999     -15.500000000       1.056449715       3.943890192       7.063750661
1.499999999     -15.000000000       1.054856096       3.935167033       7.003382059
1.499999999     -14.500000000       1.053218959       3.934417800       6.949097270
1.499999999     -14.000000000       1.051541767       3.928658642       6.888040815
1.499999999     -13.500000000       1.049829326       3.892790054       6.795300310
1.499999999     -13.000000000       1.048088100       3.821814660       6.666115440
1.499999999     -12.500000000       1.046326590       3.732130774       6.517195915
1.499999999     -12.000000000       1.044555801       3.640835607       6.366068569
1.499999999     -11.500000000       1.042789815       3.556619289       6.222022161
1.499999999     -11.000000000       1.041046501       3.481840175       6.088248727
1.499999999     -10.500000000       1.039348409       3.416196615       5.965617085
1.499999999     -10.000000000       1.037723892       3.358776828       5.854889634
1.499999999      -9.500000000       1.036208566       3.308810324       5.757751961
1.499999999      -9.000000000       1.034847232       3.265856127       5.677466710
1.499999999      -8.500000000       1.033696479       3.229835162       5.619683753
1.499999999      -8.000000000       1.032828371       3.201069161       5.593752401
1.600000000     -16.000000000       1.052662848      33.352162707      37.649470855
1.600000000     -15.500000000       1.051243749      22.891832506      27.019789335
1.600000000     -15.000000000       1.049797960      16.716600436      20.670073714
1.600000000     -14.500000000       1.048329772      12.790990962      16.565464343
1.600000000     -14.000000000       1.046844654      10.159844468      13.751624088
1.600000000     -13.500000000       1.045349488       8.325743122      11.732220147
1.600000000     -13.000000000       1.043852845       7.008667916      10.228666148
1.600000000     -12.500000000       1.042365322       6.041182272       9.075434301
1.600000000     -12.000000000       1.040899943       5.318233630       8.170056188
1.600000000     -11.500000000       1.039472651       4.771264354       7.447552621
1.600000000     -11.000000000       1.038102911       4.354034218       6.866785527
1.600000000     -10.500000000       1.036814464       4.034463707       6.403213305
1.600000000     -10.000000000       1.035636277       3.789747549       6.045633778
1.600000000      -9.500000000       1.034603774       3.603334297       5.796154085
1.600000000      -9.000000000       1.033760459       3.463024190       5.673718867
1.600000000      -8.500000000       1.033160134       3.359776531       5.721236256
1.600000000      -8.000000000       1.032870002       3.287004092       6.004698797
1.700000001     -16.000000000       1.050889426      16.927784349      20.562299630
1.700000001     -15.500000000       1.049631158      12.862762354      16.330778616
1.700000001     -15.000000000       1.048363490      10.204061755      13.505191140
1.700000001     -14.500000000       1.047091995       8.378501432      11.513498865
1.700000001     -14.000000000       1.045823438       7.078496429      10.049563181
1.700000001     -13.500000000       1.044565980       6.126809459       8.938005968
1.700000001     -13.000000000       1.043329424       5.415346230       8.073170056
1.700000001     -12.500000000       1.042125510       4.875067149       7.389285224
1.700000001     -12.000000000       1.040968264       4.460160718       6.845042477
1.700000001     -11.500000000       1.039874423       4.139239225       6.415437205
1.700000001     -11.000000000       1.038863953       3.890207476       6.087705596
1.700000001     -10.500000000       1.037960700       3.697155969       5.859991061
1.700000001     -10.000000000       1.037193202       3.548424046       5.742248029
1.700000001      -9.500000000       1.036595749       3.435371391       5.758751924
1.700000001      -9.000000000       1.036209772       3.351601051       5.947537948
1.700000001      -8.500000000       1.036085719       3.292490341       6.331221654
1.700000001      -8.000000000       1.036285672       3.254954810       6.777180633
1.800000003     -16.000000000       1.052556601      12.496962880      15.461880547
1.800000003     -15.500000000       1.051451634       9.691966006      12.518745765
1.800000003     -15.000000000       1.050353074       7.879038509      10.572254354
1.800000003     -14.500000000       1.049267482       6.644964626       9.211037937
1.800000003     -14.000000000       1.048202588       5.771449233       8.219192960
1.800000003     -13.500000000       1.047167465       5.134551989       7.475934547
1.800000003     -13.000000000       1.046172751       4.659704172       6.910944989
1.800000003     -12.500000000       1.045230901       4.299855838       6.483027612
1.800000003     -12.000000000       1.044356491       4.024122076       6.169530968
1.800000003     -11.500000000       1.043566588       3.811548135       5.961286216
1.800000003     -11.000000000       1.042881198       3.647525416       5.860644779
1.800000003     -10.500000000       1.042323825       3.521654227       5.880913340
1.800000003     -10.000000000       1.041922178       3.426434962       6.043548488
1.800000003      -9.500000000       1.041709073       3.356456961       6.360844471
1.800000003      -9.000000000       1.041723625       3.307903603       6.772476209
1.800000003      -8.500000000       1.042012830       3.278275424       7.030223205
1.800000003      -8.000000000       1.042633736       3.266286411       6.820426493
1.900000012     -16.000000000       1.057228687       8.978767983      11.408088161
1.900000012     -15.500000000       1.056273717       7.337479086       9.676012166
1.900000012     -15.000000000       1.055339912       6.234023670       8.492754061
1.900000012     -14.500000000       1.054434578       5.460986869       7.654136752
1.900000012     -14.000000000       1.053566136       4.902141620       7.048215942
1.900000012     -13.500000000       1.052744280       4.488398304       6.611652302
1.900000012     -13.000000000       1.051980169       4.176661571       6.309164455
1.900000012     -12.500000000       1.051286648       3.938958852       6.123441061
1.900000012     -12.000000000       1.050678512       3.756525386       6.050043932
1.900000012     -11.500000000       1.050172828       3.616432330       6.094116057
1.900000012     -11.000000000       1.049789325       3.509590254       6.265019848
1.900000012     -10.500000000       1.049550876       3.429532351       6.560749459
1.900000012     -10.000000000       1.049484111       3.371660147       6.927920143
1.900000012      -9.500000000       1.049620189       3.332777610       7.202856067
1.900000012      -9.000000000       1.049995805       3.310817864       7.156109861
1.900000012      -8.500000000       1.050654519       3.304714102       6.806696075
1.900000012      -8.000000000       1.051648532       3.314401415       6.630162945
2.000000006     -16.000000000       1.064618308       6.687587520       8.814743642
2.000000006     -15.500000000       1.063815027       5.784325755       7.890824924
2.000000006     -15.000000000       1.063046870       5.144888003       7.252368561
2.000000006     -14.500000000       1.062321669       4.679113772       6.815176677
2.000000006     -14.000000000       1.061648306       4.332428664       6.532455013
2.000000006     -13.500000000       1.061036856       4.070308538       6.379660993
2.000000006     -13.000000000       1.060498748       3.870103523       6.346300534
2.000000006     -12.500000000       1.060046962       3.716502927       6.429878880
2.000000006     -12.000000000       1.059696262       3.598907598       6.627641360
2.000000006     -11.500000000       1.059463474       3.509852220       6.920260145
2.000000006     -11.000000000       1.059367827       3.444031662       7.243093774
2.000000006     -10.500000000       1.059431370       3.397689955       7.462115482
2.000000006     -10.000000000       1.059679497       3.368237302       7.425805158
2.000000006      -9.500000000       1.060141609       3.354019700       7.143522901
2.000000006      -9.000000000       1.060851958       3.354201149       6.906136748
2.000000006      -8.500000000       1.061850744       3.368743067       7.263521840
2.000000006      -8.000000000       1.063185565       3.398487186      10.341450106
2.100000000     -16.000000000       1.074545921       5.355286842       7.539028089
2.100000000     -15.500000000       1.073901502       4.851463272       7.124767716
2.100000000     -15.000000000       1.073305434       4.478456178       6.881404745
2.100000000     -14.500000000       1.072765889       4.197429723       6.778873051
2.100000000     -14.000000000       1.072292015       3.983135473       6.800477720
2.100000000     -13.500000000       1.071894065       3.818637404       6.933979946
2.100000000     -13.000000000       1.071583537       3.692282818       7.160491792
2.100000000     -12.500000000       1.071373353       3.595894919       7.438617302
2.100000000     -12.000000000       1.071278055       3.523659997       7.688469206
2.100000000     -11.500000000       1.071314051       3.471425784       7.798671723
2.100000000     -11.000000000       1.071499913       3.436252991       7.691319332
2.100000000     -10.500000000       1.071856736       3.416129699       7.424951208
2.100000000     -10.000000000       1.072408586       3.409796729       7.229518298
2.100000000      -9.500000000       1.073183061       3.416655300       7.502041194
2.100000000      -9.000000000       1.074211995       3.436743897       9.433128625
2.100000000      -8.500000000       1.075532359       3.470783378      36.521509576
2.100000000      -8.000000000       1.077187428       3.520300760      24.446180473
2.200000024     -16.000000000       1.086919918       4.606252588       7.422406075
2.200000024     -15.500000000       1.086446829       4.314683496       7.388615620
2.200000024     -15.000000000       1.086034552       4.091908066       7.472630169
2.200000024     -14.500000000       1.085691434       3.920416589       7.646512767
2.200000024     -14.000000000       1.085426730       3.788144970       7.869058614
2.200000024     -13.500000000       1.085250711       3.686610262       8.077109475
2.200000024     -13.000000000       1.085174790       3.609758390       8.190220228
2.200000024     -12.500000000       1.085211676       3.553233166       8.142905043
2.200000024     -12.000000000       1.085375550       3.513903648       7.939450279
2.200000024     -11.500000000       1.085682278       3.489555779       7.689593020
2.200000024     -11.000000000       1.086149668       3.478692788       7.599589221
2.200000024     -10.500000000       1.086797780       3.480411420       8.016784294
2.200000024     -10.000000000       1.087649309       3.494334845      10.067712556
2.200000024      -9.500000000       1.088730051       3.520592008      28.602020731
2.200000024      -9.000000000       1.090069494       3.559839408      47.627792586
2.200000024      -8.500000000       1.091701549       3.613325711      19.409013036
2.200000024      -8.000000000       1.093665488       3.683002683      40.631398168
2.299999988     -16.000000000       1.101725271       4.194742206       8.388113053
2.299999988     -15.500000000       1.101440593       4.020729902       8.538713021
2.299999988     -15.000000000       1.101228339       3.885812533       8.664598809
2.299999988     -14.500000000       1.101096907       3.781619670       8.704633478
2.299999988     -14.000000000       1.101055530       3.702135500       8.618126758
2.299999988     -13.500000000       1.101114373       3.642994736       8.413789572
2.299999988     -13.000000000       1.101284644       3.601021950       8.165506493
2.299999988     -12.500000000       1.101578732       3.573925895       8.006238946
2.299999988     -12.000000000       1.102010357       3.560095733       8.134529307
2.299999988     -11.500000000       1.102594759       3.558466674       8.960481942
2.299999988     -11.000000000       1.103348920       3.568434844      12.211800359
2.299999988     -10.500000000       1.104291828       3.589808782      47.001901148
2.299999988     -10.000000000       1.105444799       3.622789616      48.537618251
2.299999988      -9.500000000       1.106831877       3.667974706      19.218195138
2.299999988      -9.000000000       1.108480310       3.726380719      28.683740668
2.299999988      -8.500000000       1.110421158       3.799481349      82.261994133
2.299999988      -8.000000000       1.112690033       3.889249371    1075.852169847
2.400000012     -16.000000000       1.119015973       3.985652021       9.312185308
2.400000012     -15.500000000       1.118940484       3.881342087       9.126277127
2.400000012     -15.000000000       1.118948122       3.801259995       8.873678658
2.400000012     -14.500000000       1.119047233       3.741201859       8.621090951
2.400000012     -14.000000000       1.119246933       3.698074457       8.468112291
2.400000012     -13.500000000       1.119557189       3.669610807       8.555286910
2.400000012     -13.000000000       1.119988923       3.654176351       9.143242176
2.400000012     -12.500000000       1.120554127       3.650636499      11.031423724
2.400000012     -12.000000000       1.121266000       3.658266770      19.253135170
2.400000012     -11.500000000       1.122139109       3.676693173     388.522983457
2.400000012     -11.000000000       1.123189582       3.705854308      30.550971147
2.400000012     -10.500000000       1.124435333       3.745978897      20.069053898
2.400000012     -10.000000000       1.125896337       3.797573333      28.050139664
2.400000012      -9.500000000       1.127594960       3.861413564      60.393944667
2.400000012      -9.000000000       1.129556359       3.938533180     272.264730166
2.400000012      -8.500000000       1.131808972       4.030192173     941.235943752
2.400000012      -8.000000000       1.134385118       4.137788750     111.814990811
